offset gap,smoothed offset gap
0.00021615100000000332,0
-0.0005883297499999996,-0.0003721787499999962
-2.4461749999998838e-05,-2.4461749999998838e-05
-6.446660000000159e-05,0
0.0005500265999999976,0
-0.00033137905000000243,0
-0.00024195464999999806,0
-9.793959999999657e-05,0
2.9037999999997898e-05,0
-9.047979999999844e-05,0
0.0004809078000000022,-0.0001566753000000032
-0.0005080156000000057,-0.00011758760000000202
-6.212735000000192e-05,0
0.0002780712500000004,0
-0.00013896089999999585,0
-0.000114235800000001,0
-0.0012393555499999986,0
-0.0015934402000000014,0
0.0027347198000000016,0
-9.6047199999999e-05,-3.725279999999831e-05
3.2744999999834155e-07,0
0.0004587999999999981,0
-0.0005861268999999946,0
0.00023483744999999723,-0.00019412314999999735
9.829659999999741e-05,0
-0.00034408349999999753,0
0.00013549545000000052,-2.453450000000634e-06
3.3640000000001447e-06,0
8.909739999999888e-05,0
-0.000247905100000001,0
4.467324999999911e-05,0
-7.21624999999726e-06,0
-2.3031500000003647e-05,0
-3.310749999996254e-06,-0.00014432895000000002
-1.4662749999999613e-05,0
-4.5847000000004415e-05,0
-1.4605849999993481e-05,0
-8.872535000000736e-05,0
5.50894000000024e-05,0
8.046505000000037e-05,0
-0.00011972794999999814,0
-9.016044999999861e-05,-1.4662749999999613e-05
2.16917499999969e-05,-6.0452849999997894e-05
5.478945000000346e-05,-8.657810000000099e-05
0.00010464099999999422,0
-0.00019860309999999436,0
9.97279499999948e-05,0
-0.00010132224999999662,0
-4.7673300000000694e-05,0
-2.8905849999999455e-05,0
-7.261789999999934e-05,0
7.231799999999899e-05,-0.00014322970000000269
0.0001797977499999992,0
-0.0001900455999999995,0
2.4249049999996996e-05,0
-9.120849999999514e-05,0
-4.5600499999998155e-05,-2.8905849999999455e-05
7.403289999999285e-05,-1.0547750000000633e-05
4.233770000000581e-05,0
-4.649980000000498e-05,0
-4.534849999999757e-05,0
-0.00022466125000000225,-0.00031269890000000246
0.00012760844999999964,0
0.00013445630000000208,0
4.782160000000313e-05,0
-0.00020680445000000324,0
2.6834650000001625e-05,0
-0.00017296895000000202,-4.305239999999877e-05
0.00014452524999999938,0
-0.00016221415000000072,0
0.0001906923000000005,0
-0.00014211020000000075,0
-9.61112499999972e-05,0
0.0001255969999999995,0
-5.0568200000000727e-05,0
2.6109550000003034e-05,-1.768890000000134e-05
-0.00014734740000000302,0
-0.00019031154999999967,-0.00028404974999999834
0.0002016129500000019,0
-0.00034478830000000407,0
0.0003752377500000015,0
6.228830000000185e-05,0
6.33684500000009e-05,0
-0.00028066919999999995,0
7.4419349999999e-05,0
-1.546755000000344e-05,0.0001360017499999977
-2.977974999999744e-05,0
-0.00027921724999999673,-0.0003089969999999942
0.0001915423999999999,0
3.172374999999561e-05,0
-0.00025502459999999784,-3.1758450000002325e-05
0.00011559374999999816,0
-3.745004999999857e-05,0
0.00010522410000000094,0
-1.470070000000323e-05,0
-0.0001557751999999968,0
1.5953400000001672e-05,0
-5.125820000000392e-05,0
0.00016242270000000337,-2.2412900000001735e-05
-0.0003711050000000049,-0.00020868230000000153
0.00015028940000000324,0
-5.590599999999446e-06,0
-0.0002714112000000046,0
0.0002516514000000025,0
-0.00018740409999999929,-6.246509999999761e-05
0.00020671054999999995,0
-6.452150000002543e-06,0
5.1648300000001204e-05,0
-0.0002002661499999947,0
9.90719499999959e-05,0
-0.0001140428499999957,0
0.00015223059999999733,0
-0.00011211095000000504,5.1640550000003894e-05
-0.00026582244999999726,-0.00024067370000000477
7.562235000000417e-05,0
-3.146935000000184e-05,0
0.0001796689500000004,0
-0.0002586779500000025,-3.4855999999999776e-05
0.00019168294999999947,0
-0.00013080079999999716,0
-3.826230000000264e-05,0
1.200494999999968e-05,0
-6.585674999999847e-05,0
-9.963580000000306e-05,0
0.00010426210000000769,0
2.8258499999994634e-05,-0.00013086775000000216
-0.00021256149999999697,-8.004089999999464e-05
7.886600000001076e-06,7.886600000001076e-06
0.0003489211499999978,0
-0.00023139744999999822,0
-7.113150000000457e-05,0
-6.723229999999747e-05,0
0.00011087089999999855,0
-8.703249999997276e-06,0
-6.47673999999987e-05,0
1.7536399999995565e-05,-2.084010000000247e-05
8.85643000000047e-05,0
-0.00032629910000000486,-0.000182798150000002
0.0001741123499999997,0
-3.097829999999524e-05,0
1.867784999999844e-05,0
-0.0003443908500000037,0
0.0002906289500000048,0
2.665604999999571e-05,0
-0.0002618056499999966,0
0.0001754037499999972,0.0001741123499999997
-9.548100000000836e-06,-3.097829999999524e-05
-7.97470999999994e-05,-0.00018412510000000436
0.0009163982500000001,0
-0.0010622191000000003,-0.00014582085000000022
-6.87608499999992e-05,0
8.037880000000275e-05,0
-3.2284750000000084e-05,-2.0666799999996544e-05
-0.00011032655000000058,0
0.00027921974999999823,0
-2.2420349999996425e-05,0
-5.6935100000005126e-05,0
-1.3894050000001768e-05,0
-0.00023590534999999856,0
9.242210000000028e-05,0
-4.389909999999997e-05,-0.00011032655000000058
0.00011680070000000264,-4.9935100000003675e-05
-0.000196483850000001,0
0.0001953919999999998,0
-0.00010604350000000262,0
-0.0002856759499999972,0
0.0003717752000000019,-0.00022748759999999813
-0.0003077417500000013,6.40334500000006e-05
-7.68078999999977e-05,0
9.394729999999685e-05,0
-1.4895900000000406e-05,2.2434999999987326e-06
6.368000000001039e-06,0
-0.0002077901499999979,-0.00020142214999999686
-1.1251000000001011e-05,-1.1251000000001011e-05
-2.5841100000001395e-05,0
0.00011130160000000222,0
-0.0002981115000000034,0
0.00032609115000000187,0
-0.00010877114999999771,0
-0.00012783740000000266,0
0.00025738504999999747,0
-0.0003429757499999964,-0.00020875909999999996
3.444380000000025e-05,3.444380000000025e-05
1.4850550000000684e-05,0
-0.0021874836000000007,0
0.0021968151499999976,0
-2.4548749999997453e-05,0
5.69017000000005e-05,0
-0.00016201005000000547,0
4.5233000000033385e-06,0
0.0001230595000000001,1.4850550000000684e-05
-0.00019315075000000403,4.16844999999999e-05
-1.205949999993905e-06,-0.00022878394999999995
-0.00021894574999999916,0
0.00030821569999999745,0
7.07270499999968e-05,0
7.141000000004949e-06,0
-0.0004110779000000009,0
0.0003852786499999983,0
-0.00026392895000000306,0
9.894930000000634e-05,-0.00012259020000000566
0.0003243417999999942,0
-0.00047460719999999903,-5.131609999999842e-05
